python : Watching for file changes with StatReloader
At C:\Users\exorc\AppData\Local\Temp\ps-script-0f43323b-e024-48fb-9deb-46606be19377.ps1:92 char:41
+ ... oads\ABC\server; python manage.py runserver 0.0.0.0:8000 2>&1 | Out-F ...
+                      ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Watching for fi...th StatReloader:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Performing system checks...

System check identified no issues (0 silenced).
June 14, 2026 - 22:19:05
Django version 4.2.16, using settings 'djangoproject.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CTRL-BREAK.

[14/Jun/2026 23:53:15] "GET /static/admin/css/base.css HTTP/1.1" 200 21310
[14/Jun/2026 23:53:15] "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
[14/Jun/2026 23:53:15] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
[14/Jun/2026 23:53:15] "GET /static/admin/css/login.css HTTP/1.1" 200 958
[14/Jun/2026 23:53:15] "GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
[14/Jun/2026 23:53:15] "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
[14/Jun/2026 23:53:15] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[14/Jun/2026 23:53:16] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[14/Jun/2026 23:53:16] "GET /admin/ HTTP/1.1" 200 7528
[14/Jun/2026 23:53:16] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
[14/Jun/2026 23:53:16] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[14/Jun/2026 23:53:16] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[14/Jun/2026 23:53:17] "GET /admin/logout/ HTTP/1.1" 200 3576
[14/Jun/2026 23:53:42] "GET /admin/ HTTP/1.1" 200 7528
